ville;description;isFraud;date
kairouan;I slipped when it was raining and then I found myself in the hospital;fake;"""01/01/2019"""
sousse ;This should state whether the incident was resolved and what the outcomes were.;fake;"""01/01/2019"""
monastir;It is believed the wire should not have been stretched across the ground without safety tape securing it to the ground and drawing attention to it. Timothy fell to the ground and dropped the hammer but did not injure himself with it. He twisted his ankle,;fake;"""01/01/2019"""
tunis;I slipped when it was raining and then I found myself in the hospital;fake;"""01/01/2019"""
kairouan;in fact it was really a very risky accident with my moto;fake;"""01/01/2019"""
kairouan;He twisted his ankle, which immediately began to swell and scrapped the side of his leg in a minor way. A co-worker came to assist Timothy to his feet and helped him walk to a nearby bench. Timothy could not put his weight on his left foot, so he was taken to a nearby hospital. ;fake;"""01/01/2019"""
nabeul;it was really a bad day when i went to the super market , i had breathing problem when i went to the hospital its because i'm smooking;fake;"""01/01/2019"""
sidi bouzid;i was playing footbal and i slipped and has the hand broken;fake;"""01/01/2019"""
ariena;I felt deezy then the ambulance came , i just woke up in the hosital and doctors arround me so it was really a bad day ;fake;"""01/01/2019"""
ben arous;I had a heart attack and i went to the hospital ;fake;"""01/01/2019"""
tatawin;since two days , i'm not feeling well at all , last day i've felt deezy then i fall down , when i woke up i've had a very bad headache ;fake;"""01/01/2019"""
ben gerden;we had a fire at home and i've been burned ;fake;"""01/01/2019"""
jerba;to be honest , i had an accident in kairouan , i was walking in the side of the street where a moto came fastly and it hurted me ;fake;"""01/01/2019"""
kairouan;last week i had an accident when i was in the center of the city , it was a car accident , i've sent all the justificative domcuments;fake;"""01/01/2019"""
sousse ;to be honest , yesterday the house was burned and me and my child has been burned ;fake;"""01/01/2019"""
monastir;when i was at home ,  i felt down and has my leg broken ;fake;"""01/01/2019"""
sfax;As a result of this incident, my trunk was caved in. I have a small Honda, and small cars don’t tend to fare very well when they are hit by commercial vans. I brought it to my usual mechanic, who recommended that I go to Waukesha Body Shop;fake;"""01/01/2019"""
sfax;I slipped when it was raining and then I found myself in the hospital;fake;"""01/01/2019"""
kairouan;Taking into account your insured’s absolute liability and my damages in this case, I demand $4,600.00 to settle this case. This is not a complex claim. If I do not hear from you in one week, ;fake;"""01/01/2019"""
tunis;At approximately 8:00 p.m. on February 9, 20xx I was a customer in your restaurant when I slipped just outside the entrance to the restaurant and fell, injuring myself.;fake;"""01/01/2019"""
ariena;Please be advised that I received injuries in an accident on February 9, 20xx on the premises of your insured, the Snack-n-Chat Restaurant. Please confirm in writing to the above address that your company has issued liability coverage to the Snack-n-Chat Restaurant.;fake;"""01/01/2019"""
gbelli;As I informed you by letter of January 17, 20xx, I was injured in an automobile accident with your insured Matthew White on January 13, 20xx in Highgate, Connecticut. I was headed west on Hornsey Lane and stopped at the stop sign at the intersection with Highgate Hill Road. While I was stopped, ;fake;"""01/01/2019"""
tozeur;In the middle of that night, I woke with a severe headache and extremely stiff neck, so in the morning I went to the emergency room of Highgate Medical Center. [NOTE that Olly’s headache is “severe” and his neck “extremely” stiff, which sounds more serious than a headache and stiff neck.] There I was examined, and X-rays were taken of my neck and back. The doctor diagnosed a cervical strain, fitted me with a cervical collar, and advised bed rest. Because of the severe pain, he also prescribed pain relief medication;fake;"""01/01/2019"""
kairouan;I was in considerable pain for the next five days, and was forced to miss three days of work and the 50th birthday party in Boston of an old and dear friend. On Monday of the next week I returned to work, but still with pain and stiffness and wearing a cervical collar, which made doing my job very difficult. ;fake;"""01/01/2019"""
kairouan;I continue to suffer occasional stiffness and sleep disruptions. Mentioning continuing problems may nudge the insurance adjuster to settle the claim quickly rather than risk that Olly will have to return for more medical treatment that would increase his medical specials.;fake;"""01/01/2019"""
kairouan;As mentioned, due to the accident, I also missed three days of work. As the enclosed letter from the personnel office of Battersea Grocery indicates, my wage loss was $336 (24 hours at $14 per hour).;fake;"""01/01/2019"""
kairouan;Because of the negligence of your insured, I went through a period of extreme pain and discomfort that lasted for several weeks. This discomfort continues. Not only was my normal daily life disrupted, but I was forced to miss the 50th birthday party of a very dear friend whom I rarely get to see.;fake;"""01/01/2019"""
kairouan;Coming home, I drove into the wrong house and collided with a tree I don't have.;fake;"""01/01/2019"""
kairouan;The other car collided with mine without givng warning of its intentions.;fake;"""01/01/2019"""
kairouan;I thought my window was down, but I found out it was up when I put my head through it.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
kairouan;I collided with a stationary truck coming the other way.;fake;"""01/01/2019"""
