ville;description;isFrauad;date
kairouan;A pedestrian hit me and went under my car.;true;"""01/01/2019"""
kairouan;"The guy was all over the road and I had to swerve a number of times before I hit him.
";true;"""01/01/2019"""
sousse;"I pulled away from the side of the road, glanced at my mother-in-law and headed over the embankment.
";true;"""01/01/2019"""
monastir;free movement. But nowadays the word is more commonly used without a hyphen to refer to a “disorder of structure or function in an animal or plant of such a degree as to produce or threaten to produce detectable illness or disorder”—or again, more narrowly,;true;"""01/01/2019"""
tunis;"Illness has three definitions. Two of them are of the way the word was used up to the 18th century—to mean either “wickedness, depravity, immorality”, or “unpleasantness, disagreeableness, hurtfulness”. These older meanings reflect the fact that the word “ill” is a contracted form of “evil”. The third meaning, dating from the 17th century, is the modern one: “Ill health; the state of being ill”";true;"""01/01/2019"""
tunis;There is a rather unhelpful circularity about these dictionary definitions. But dictionaries of the English language usually only aim to tell us the origins of words and how they have been used historically. They do not aim at the much more contestable goal of conceptual clarity. ;true;"""01/01/2019"""
tunis;Disease then, is the pathological process, deviation from a biological norm. Illness is the patient's experience of ill health, sometimes when no disease can be found. ;true;"""01/01/2019"""
tunis;I have leg injuries the doctor gave me a day certificate, in fact I am really damaged;true;"""01/01/2019"""
tunis; Most patients most of the time however, probably can be classified as having a disease, or feeling ill, or being recognised as sick.;true;"""01/01/2019"""
tunis;"So the reviewer, expounding Showalter, claims. People with ME and Gulf war veterans, by contrast, understandably might contest this view of what they are suffering from;";true;"""01/01/2019"""
sousse;I have leg injuries the doctor gave me a day certificate, in fact I am really damaged;true;"""01/01/2019"""
sousse;Some diseases, clearly, are less respectable than others. A classic example is Munchausen's syndrome, the diagnostic label applied to people who repeatedly present themselves to hospitals with convincing symptoms,;true;"""01/01/2019"""
sousse;But their condition is more likely to be dismissed as “a bizarre form of malingering;true;"""01/01/2019"""
sousse;Well perhaps, Hare suggests, we just use the word “disease” for “conditions whose cause was not visible before the invention of microscopes”. But a more basic point, ;true;"""01/01/2019"""
sousse;But what does “understand in medical terms” mean in this context? Does it mean that doctors hope to find some causative agent in the patient, or in the patient's environment;true;"""01/01/2019"""
